1,481,2,45,1,0
2,482,33,45,2,2
3,484,2,45,3,1
4,486,10,45,4,8
5,486,2,45,4,8
6,486,40,45,4,8
7,486,50,45,4,8
8,487,3,45,5,1
9,487,3,45,5,1
10,489,2,45,6,16
11,491,3,45,7,5
12,492,65,45,8,7
13,492,25,45,8,7
14,493,1,15,9,5
15,494,1,45,10,10
16,495,40,45,11,15
17,495,2,45,11,15
18,495,96,45,11,15
19,495,17,45,11,15
20,495,2,45,11,15
21,496,51,45,12,12
22,497,27,15,13,9
23,497,1,45,13,9
24,498,10,45,14,1
25,498,4,45,14,1
26,499,4,15,15,1
27,499,31,45,15,1
28,500,49,45,16,5
29,500,3,45,16,5
30,500,6,45,17,0
31,501,10,15,18,5
32,501,73,45,18,5
33,501,1,45,18,5
34,503,4,45,19,8
35,503,2,15,19,8
36,503,4,45,19,8
37,504,3,45,20,4
38,505,3,45,21,8
39,505,5,5,21,8
40,506,48,45,22,2
41,506,102,15,22,2
42,506,1,45,22,2
43,506,1,5,22,2
44,508,5,45,23,9
45,508,4,45,23,9
46,508,34,5,23,9
47,508,93,5,23,9
48,509,2,45,24,19
49,509,1,45,24,19
50,510,41,45,25,7
51,510,67,15,25,7
52,511,17,45,26,10
53,511,2,45,26,10
54,511,7,45,26,10
55,512,2,15,27,6
56,512,1,45,27,6
57,512,67,45,27,6
58,513,107,45,28,13
59,513,2,45,28,13
60,514,1,45,29,2
61,514,2,45,29,2
62,514,4,45,29,2
63,515,1,45,30,19
64,515,20,45,30,19
65,516,73,5,31,11
66,516,25,15,31,11
67,516,48,45,31,11
68,516,2,45,32,8
69,516,55,5,32,8
70,516,11,45,32,8
71,517,32,45,33,0
72,517,2,45,33,0
73,518,43,45,34,8
74,518,15,45,34,8
75,518,10,5,35,16
76,518,1,45,35,16
77,519,17,5,36,1
78,519,30,5,36,1
79,519,2,15,36,1
80,519,22,15,36,1
81,520,2,45,37,16
82,521,64,45,38,11
83,521,50,5,38,11
84,521,22,45,38,11
85,521,5,45,39,16
86,521,2,45,39,16
87,521,13,15,39,16
88,522,68,45,40,5
89,522,2,45,40,5
90,522,26,15,40,5
91,522,8,5,40,5
92,523,103,15,41,19
93,523,39,15,41,19
94,523,2,45,41,19
95,524,34,45,42,12
96,524,2,45,42,12
97,524,7,45,42,12
98,524,51,15,42,12
99,524,7,45,42,12
100,524,46,45,43,0
101,525,1,15,44,0
102,526,16,45,45,16
103,526,2,45,45,16
104,526,16,15,45,16
105,526,28,45,45,16
106,526,9,45,45,16
107,526,69,45,46,3
108,526,4,45,46,3
109,527,3,45,47,6
110,527,4,45,47,6
111,527,60,45,47,6
112,527,32,45,48,1
113,527,53,15,48,1
114,527,67,45,49,1
115,528,48,15,50,10
116,528,8,45,50,10
117,528,27,45,50,10
118,528,35,45,50,10
119,528,102,45,51,18
120,528,69,15,51,18
121,528,2,45,51,18
122,529,18,45,52,5
123,529,5,45,52,5
124,529,1,45,52,5
125,529,4,45,53,19
126,529,1,45,53,19
127,530,5,15,54,14
128,530,49,15,54,14
129,530,27,45,54,14
130,530,3,45,55,7
131,530,1,15,55,7
132,531,15,45,56,6
133,531,83,15,56,6
134,531,11,15,56,6
135,531,68,45,56,6
136,532,4,45,57,17
137,532,1,45,57,17
138,532,40,45,57,17
139,532,3,45,57,17
140,532,14,15,58,12
141,533,16,5,59,16
142,533,1,45,59,16
143,533,13,15,59,16
144,533,4,45,59,16
145,534,3,45,60,6
146,534,2,45,60,6
147,534,8,45,60,6
148,534,66,5,60,6
149,534,2,45,61,16
150,535,39,15,62,0
151,535,13,15,62,0
152,535,8,45,62,0
153,535,32,45,62,0
154,536,6,45,63,16
155,536,8,45,63,16
156,536,1,45,63,16
157,536,72,45,64,15
158,536,12,45,64,15
159,536,87,45,64,15
160,536,21,45,64,15
161,536,2,45,64,15
162,537,3,45,65,5
163,537,1,15,65,5
164,537,3,45,65,5
165,538,10,15,66,18
166,538,3,45,66,18
