1,481,2,45,1
2,481,33,45,2
3,484,2,45,3
4,486,10,45,4
5,486,2,45,4
6,486,40,45,4
7,486,50,45,4
8,487,3,45,5
9,487,3,45,5
10,489,2,45,6
11,491,3,45,7
12,492,65,45,8
13,492,25,45,8
14,493,1,15,9
15,494,1,45,10
16,495,40,45,11
17,495,2,45,11
18,495,96,45,11
19,495,17,45,12
20,495,2,45,12
21,496,51,45,13
22,497,27,15,14
23,497,1,45,14
24,498,10,45,15
25,498,4,45,15
26,499,4,15,16
27,499,31,45,16
28,500,49,45,17
29,500,3,45,17
30,500,6,45,17
31,501,10,15,18
32,501,73,45,18
33,501,1,45,18
34,503,4,45,19
35,503,2,15,19
36,503,4,45,20
37,504,3,45,21
38,505,3,45,22
39,505,5,5,22
40,506,48,45,23
41,506,102,15,23
42,506,1,45,24
43,506,1,5,24
44,508,5,45,25
45,508,4,45,25
46,508,34,5,26
47,508,93,5,26
48,509,2,45,27
49,509,1,45,27
50,510,41,45,28
51,510,67,15,28
52,511,17,45,29
53,511,2,45,29
54,511,7,45,29
55,512,2,15,30
56,512,1,45,30
57,512,67,45,30
58,513,107,45,31
59,513,2,45,31
60,514,1,45,32
61,514,2,45,32
62,514,4,45,32
63,515,1,45,33
64,515,20,45,33
65,516,73,5,34
66,516,25,15,34
67,516,48,45,34
68,516,2,45,35
69,516,55,5,35
70,516,11,45,36
71,517,32,45,37
72,517,2,45,37
73,518,43,45,38
74,518,15,45,38
75,518,10,5,38
76,518,1,45,38
77,519,17,5,39
78,519,30,5,39
79,519,2,15,39
80,519,22,15,39
81,520,2,45,40
82,521,64,45,41
83,521,50,5,41
84,521,22,45,41
85,521,5,45,41
86,521,2,45,42
87,521,13,15,42
88,522,68,45,43
89,522,2,45,43
90,522,26,15,43
91,522,8,5,44
92,523,103,15,45
93,523,39,15,45
94,523,2,45,46
95,524,34,45,47
96,524,2,45,47
97,524,7,45,47
98,524,51,15,47
99,524,7,45,47
100,524,46,45,48
101,525,1,15,49
102,526,16,45,50
103,526,2,45,50
104,526,16,15,51
105,526,28,45,51
106,526,9,45,51
107,526,69,45,51
108,526,4,45,52
109,527,3,45,53
110,527,4,45,53
111,527,60,45,53
112,527,32,45,54
113,527,53,15,54
114,527,67,45,54
115,528,48,15,55
116,528,8,45,55
117,528,27,45,55
118,528,35,45,55
119,528,102,45,56
120,528,69,15,56
121,528,2,45,56
122,529,18,45,57
123,529,5,45,57
124,529,1,45,57
125,529,4,45,58
126,529,1,45,58
127,530,5,15,59
